Country,Cumulative number of case,Number of deaths,Number recovered
Germany,1,0,0
Canada,8,2,0
Singapore,20,0,0
"Hong Kong SAR, China",95,1,0
Switzerland,2,0,0
Thailand,1,0,0
Viet Nam,40,1,0
Germany,2,0,0
Canada,8,2,0
China,0,0,0
Singapore,23,0,0
"Hong Kong SAR, China",123,1,0
"Taiwan, China",3,0,0
Thailand,1,0,0
Viet Nam,57,1,0
Slovenia,1,0,0
United Kingdom,1,0,0
Canada,8,2,0
China,0,0,0
Germany,1,0,0
"Hong Kong SAR, China",150,5,0
Singapore,31,0,0
Slovenia,1,0,0
Spain,1,0,0
"Taiwan, China",3,0,0
Thailand,1,0,0
United Kingdom,1,0,0
United States,11,0,0
Viet Nam,56,2,0
Canada,9,2,0
China,0,0,0
Germany,1,0,0
"Hong Kong SAR, China",173,6,0
Singapore,34,0,0
Slovenia,1,0,0
Spain,1,0,0
Switzerland,7,0,0
"Taiwan, China",4,0,0
Thailand,1,0,0
United Kingdom,2,0,0
United States,11,0,0
Viet Nam,62,2,0
Canada,9,2,0
China,0,0,0
Germany,1,0,0
"Hong Kong SAR, China",203,6,0
Italy,1,0,0
Republic of Ireland,1,0,0
Singapore,39,0,0
Slovenia,1,0,0
Spain,1,0,0
Switzerland,7,0,0
"Taiwan, China",6,0,0
Thailand,4,0,0
United Kingdom,2,0,0
United States,13,0,0
Viet Nam,62,2,0
Canada,9,2,0
China,0,0,0
Germany,2,0,0
"Hong Kong SAR, China",222,7,0
Italy,2,0,0
Republic of Ireland,1,0,0
Singapore,44,0,0
Slovenia,1,0,0
Spain,1,0,0
Switzerland,7,0,0
"Taiwan, China",6,0,0
Thailand,4,0,0
United Kingdom,2,0,0
United States,22,0,0
Viet Nam,63,2,0
Canada,11,3,0
China,0,0,0
France,1,0,0
Germany,4,0,0
"Hong Kong SAR, China",260,10,0
Italy,2,0,0
Republic of Ireland,1,0,0
Singapore,65,0,0
Spain,1,0,0
Switzerland,2,0,0
"Taiwan, China",6,0,0
Thailand,5,0,0
United Kingdom,3,0,0
United States,37,0,0
Viet Nam,58,4,0
Canada,11,3,0
China,0,0,0
